지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
114,원주,2020-12-08,-1.2,-4.7,704,4,1511
114,원주,2020-12-09,-.6,-6.7,622,5.3,1353
114,원주,2020-12-10,3.9,.7,151,7.5,1448
114,원주,2020-12-11,4.4,-.2,650,8.8,1422
114,원주,2020-12-12,2.6,-1.3,2348,7.3,1414
114,원주,2020-12-13,-1.4,-4.6,2359,1.2,1606
114,원주,2020-12-14,-6.7,-8.8,746,-4.4,1428
114,원주,2020-12-15,-7.8,-11.7,540,-3.9,1542
114,원주,2020-12-16,-8.8,-14.4,743,-3.5,1507
114,원주,2020-12-17,-7.8,-14.6,808,-2.3,1547
114,원주,2020-12-18,-2.3,-5.8,2341,2.2,1543
114,원주,2020-12-19,-5.9,-10.5,810,-.8,1526
