지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
114,원주,2020-12-20,-5.9,-11.7,735,.2,1414
114,원주,2020-12-21,-4.2,-10.4,739,2.8,1408
114,원주,2020-12-22,-1.7,-6.8,355,4.8,1502
114,원주,2020-12-23,1.4,-3.7,443,5.7,1510
114,원주,2020-12-24,3.5,-.6,2312,6.9,1340
114,원주,2020-12-25,-1.2,-5.1,730,3.1,1519
114,원주,2020-12-26,-.3,-4.6,537,6.1,1432
114,원주,2020-12-27,2.7,-2.1,133,8.8,1435
114,원주,2020-12-28,4.4,1,2355,11,1453
114,원주,2020-12-29,.8,-2.3,2352,6.3,1227
114,원주,2020-12-30,-8.8,-11.8,2356,-2.3,1
114,원주,2020-12-31,-8.9,-13.3,645,-4.7,1456
